	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)
VARIABLES	female	female	female	blackhisp	blackhisp	age	age	educper	educper	income1cpi	income1cpi	hosp	hosp	ghindx	ghindx	cholest	cholest	diastol	diastol	systol	systol	mhi	mhi	ghindxx	ghindxx	cholestx	cholestx	diastolx	diastolx	systolx	systolx	mhix	mhix	mhix
																																		
plantype_1	0.522***	-0.038		-0.028		0.435		-0.263		-976.185		0.001		-1.306		-5.246		-0.143		1.124		0.890		-0.776		-1.831		-1.032		-0.522		0.433		
	(0.0186)	(0.015)		(0.025)		(0.614)		(0.183)		(1,344.553)		(0.015)		(0.871)		(2.701)		(0.720)		(1.008)		(0.765)		(0.866)		(2.392)		(0.588)		(0.934)		(0.825)		
plantype_2		-0.023		-0.019		0.561		-0.157		-2,104.385		0.004		-1.441		-1.420		1.222		2.324		-0.120		-0.869		0.691		0.219		1.167		0.454		
		(0.016)		(0.027)		(0.676)		(0.191)		(1,383.691)		(0.016)		(0.950)		(2.984)		(0.829)		(1.154)		(0.821)		(0.963)		(2.572)		(0.648)		(1.056)		(0.910)		
plantype_3		-0.025		-0.027		0.966		-0.061		969.759		-0.002		0.211		-1.932		-0.514		0.907		1.189		0.612		-2.310		-0.335		-1.393		1.071		
		(0.015)		(0.025)		(0.655)		(0.186)		(1,389.015)		(0.015)		(0.920)		(2.758)		(0.785)		(1.076)		(0.809)		(0.902)		(2.466)		(0.616)		(0.985)		(0.871)		
any_ins			-0.030		-0.025		0.639		-0.169		-653.626		0.001		-0.925		-3.190		0.119		1.388		0.707		-0.359		-1.322		-0.479		-0.355		0.642	0.642
			(0.013)		(0.022)		(0.543)		(0.157)		(1,181.030)		(0.013)		(0.772)		(2.295)		(0.643)		(0.901)		(0.682)		(0.775)		(2.085)		(0.519)		(0.853)		(0.755)	(0.755)
Constant		0.560	0.560	0.172	0.172	32.361	32.361	12.105	12.105	31,603.207	31,603.207	0.115	0.115	70.859	70.859	207.302	207.302	74.764	74.764	122.342	122.342	73.846	73.846	68.466	68.466	203.185	203.185	78.840	78.840	121.875	121.875	75.498	75.498	75.50***
		(0.012)	(0.012)	(0.020)	(0.020)	(0.485)	(0.485)	(0.140)	(0.140)	(1,071.181)	(1,070.894)	(0.012)	(0.012)	(0.693)	(0.693)	(1.991)	(1.990)	(0.568)	(0.568)	(0.804)	(0.803)	(0.618)	(0.618)	(0.701)	(0.701)	(1.863)	(1.862)	(0.465)	(0.465)	(0.781)	(0.781)	(0.696)	(0.695)	(0.695)
																																		
Observations	3,957	3,957	3,957	3,131	3,131	3,956	3,956	3,468	3,468	3,742	3,742	3,932	3,932	3,040	3,040	2,254	2,254	2,293	2,293	2,292	2,292	3,817	3,817	3,515	3,515	3,389	3,389	3,495	3,495	3,495	3,495	3,515	3,515	3,515
R-squared		0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.000	0.004	0.000	0.000	0.000	0.002	0.001	0.002	0.001	0.003	0.000	0.002	0.001	0.002	0.000	0.002	0.000	0.001	0.000	0.002	0.000	0.003	0.000	0.001	0.000	0.000
Constant SD:		0.497		0.377		12.92		2.881		18148		0.320		14.91		39.92		11.01		16.48		14.25		15.95		42.11		11.96		18.65		14.75		
Standard errors in parentheses																																		
*** p<0.01, ** p<0.05, * p<0.1																																		
